	ENGINE_LOAD	RPM	SPEED	THROTTLE_POS	ACC_D	LABEL	TIME
1019	15.2941176471	2511.0	29.0	88.6274509804	20.0	normal	225923524.0
1020	12.1568627451	2494.5	30.0	88.6274509804	14.5098039216	normal	225923654.0
1021	6.27450980392	2432.5	29.0	88.6274509804	14.5098039216	normal	225923789.0
1022	2.35294117647	2457.25	29.0	88.6274509804	14.5098039216	normal	225923923.0
1023	0.0	2489.5	29.0	88.6274509804	14.5098039216	normal	225924041.0
1024	0.0	2459.75	29.0	88.6274509804	14.5098039216	normal	225924187.0
1025	0.0	2438.0	29.0	88.6274509804	14.5098039216	normal	225924333.0
1026	0.0	2402.0	28.0	88.6274509804	14.5098039216	normal	225924484.0
1027	0.0	2341.75	27.0	88.6274509804	14.5098039216	normal	225924629.0
1028	0.0	2284.0	27.0	88.6274509804	14.5098039216	normal	225924776.0
1029	0.0	2219.25	26.0	88.6274509804	14.5098039216	normal	225924904.0
1030	0.0	2176.75	26.0	88.6274509804	14.5098039216	normal	225925064.0
1031	0.0	2101.0	25.0	88.6274509804	14.5098039216	normal	225925210.0
1032	0.0	2028.75	24.0	88.6274509804	14.5098039216	normal	225925356.0
1033	0.0	1954.0	23.0	88.6274509804	14.5098039216	normal	225925521.0
1034	0.0	1888.5	23.0	88.6274509804	14.5098039216	normal	225925673.0
1035	0.0	1843.75	22.0	88.6274509804	14.5098039216	normal	225925805.0
1036	0.0	1845.25	22.0	88.6274509804	14.5098039216	normal	225925961.0
1037	0.0	1838.0	22.0	88.6274509804	14.5098039216	normal	225926103.0
1038	0.0	1852.25	22.0	88.6274509804	14.9019607843	normal	225926205.0
1039	0.0	1841.0	21.0	88.6274509804	16.4705882353	normal	225926348.0
1040	0.0	1773.25	21.0	88.6274509804	20.0	normal	225926484.0
1041	3.13725490196	1792.75	21.0	88.6274509804	47.0588235294	normal	225926603.0
1042	8.62745098039	1819.25	21.0	88.6274509804	50.5882352941	normal	225926759.0
